"crime","zone","nonretail","river","nox","room","age","distance","tax","PTratio","lower","value"
13.0751,0,18.1,"No",0.58,5.713,56.7,2.8237,666,20.2,14.76,20.1
0.7857,20,3.97,"No",0.647,7.014,84.6,2.1329,264,13,14.79,30.7
0.05302,0,3.41,"No",0.489,7.079,63.1,3.4145,270,17.8,5.7,28.7
0.40771,0,6.2,"Yes",0.507,6.164,91.3,3.048,307,17.4,21.46,21.7
0.10084,0,10.01,"No",0.547,6.715,81.6,2.6775,432,17.8,10.16,22.8
0.03502,80,4.95,"No",0.411,6.861,27.9,5.1167,245,19.2,3.33,28.5
7.99248,0,18.1,"No",0.7,5.52,100,1.5331,666,20.2,24.56,12.3
0.17446,0,10.59,"Yes",0.489,5.96,92.1,3.8771,277,18.6,17.27,21.7
0.1029,30,4.93,"No",0.428,6.358,52.9,7.0355,300,16.6,11.22,22.2
4.75237,0,18.1,"No",0.713,6.525,86.5,2.4358,666,20.2,18.13,14.1
0.52693,0,6.2,"No",0.504,8.725,83,2.8944,307,17.4,4.63,50
0.04113,25,4.86,"No",0.426,6.727,33.5,5.4007,281,19,5.29,28
9.18702,0,18.1,"No",0.7,5.536,100,1.5804,666,20.2,23.6,11.3
0.28955,0,10.59,"No",0.489,5.412,9.8,3.5875,277,18.6,29.55,23.7
0.02009,95,2.68,"No",0.4161,8.034,31.9,5.118,224,14.7,2.88,50
2.73397,0,19.58,"No",0.871,5.597,94.9,1.5257,403,14.7,21.45,15.4
10.0623,0,18.1,"No",0.584,6.833,94.3,2.0882,666,20.2,19.69,14.1
0.02729,0,7.07,"No",0.469,7.185,61.1,4.9671,242,17.8,4.03,34.7
2.15505,0,19.58,"No",0.871,5.628,100,1.5166,403,14.7,16.65,15.6
0.01381,80,0.46,"No",0.422,7.875,32,5.6484,255,14.4,2.97,50
0.25915,0,21.89,"No",0.624,5.693,96,1.7883,437,21.2,17.19,16.2
0.47547,0,9.9,"No",0.544,6.113,58.8,4.0019,304,18.4,12.73,21
0.03237,0,2.18,"No",0.458,6.998,45.8,6.0622,222,18.7,2.94,33.4
0.09068,45,3.44,"No",0.437,6.951,21.5,6.4798,398,15.2,5.1,37
0.49298,0,9.9,"No",0.544,6.635,82.5,3.3175,304,18.4,4.54,22.8
0.01709,90,2.02,"No",0.41,6.728,36.1,12.1265,187,17,4.5,30.1
0.13262,0,8.56,"No",0.52,5.851,96.7,2.1069,384,20.9,16.47,19.5
0.01439,60,2.93,"No",0.401,6.604,18.8,6.2196,265,15.6,4.38,29.1
7.40389,0,18.1,"No",0.597,5.617,97.9,1.4547,666,20.2,26.4,17.2
1.23247,0,8.14,"No",0.538,6.142,91.7,3.9769,307,21,18.72,15.2
2.44668,0,19.58,"No",0.871,5.272,94,1.7364,403,14.7,16.14,13.1
0.66351,20,3.97,"No",0.647,7.333,100,1.8946,264,13,7.79,36
0.40202,0,9.9,"No",0.544,6.382,67.2,3.5325,304,18.4,10.36,23.1
0.13058,0,10.01,"No",0.547,5.872,73.1,2.4775,432,17.8,15.37,20.4
0.08187,0,2.89,"No",0.445,7.82,36.9,3.4952,276,18,3.57,43.8
0.51183,0,6.2,"No",0.507,7.358,71.6,4.148,307,17.4,4.73,31.5
